Family Studies 12,FM 12,Module 1- Families in Society,Section 3 - Facing Family Challenges,Care for a Special Needs Child,https://specialchildren.about.com/od/gettingadiagnosis/p/whatare.htm,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Introduction,https://www.bclearningnetwork.com/LOR/media/BCA11/images/arrow.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Introduction,https://www.bclearningnetwork.com/LOR/media/BCA11/images/Your_turn.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Introduction,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/Spreadsheet/exercise-ss1.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Formatting a spreadsheet,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/Spreadsheet/format.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Formatting a spreadsheet,https://www.youtube.com/embed/OEPy9ZvJ0jE?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Formatting a spreadsheet,https://www.youtube.com/embed/7-OEPUoCvEw?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Formatting a spreadsheet,https://www.youtube.com/embed/rz9NTbeiYKw?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Formatting a spreadsheet,https://www.bclearningnetwork.com/LOR/media/BCA11/images/Your_turn.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Formatting a spreadsheet,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/Spreadsheet/exercise-ss2.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-4 Spreadsheets,Formulas,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/Spreadsheet/Spreadsheet_animation.gif,200,
